timestamp,1_temperature,1_precipitation,2_temperature,2_precipitation,3_temperature,3_precipitation,4_temperature,4_precipitation,5_temperature,5_precipitation,6_temperature,6_precipitation,7_temperature,7_precipitation,8_temperature,8_precipitation,9_temperature,9_precipitation,10_temperature,10_precipitation,11_temperature,11_precipitation,12_temperature,12_precipitation,13_temperature,13_precipitation,14_temperature,14_precipitation,15_temperature,15_precipitation,16_temperature,16_precipitation,17_temperature,17_precipitation,18_temperature,18_precipitation,19_temperature,19_precipitation,20_temperature,20_precipitation,21_temperature,21_precipitation,22_temperature,22_precipitation,23_temperature,23_precipitation,24_temperature,24_precipitation,25_temperature,25_precipitation,26_temperature,26_precipitation,27_temperature,27_precipitation,28_temperature,28_precipitation,29_temperature,29_precipitation,30_temperature,30_precipitation,31_temperature,31_precipitation,32_temperature,32_precipitation,33_temperature,33_precipitation,34_temperature,34_precipitation,35_temperature,35_precipitation,36_temperature,36_precipitation,37_temperature,37_precipitation,38_temperature,38_precipitation,39_temperature,39_precipitation,40_temperature,40_precipitation,41_temperature,41_precipitation,42_temperature,42_precipitation,43_temperature,43_precipitation,44_temperature,44_precipitation,45_temperature,45_precipitation,46_temperature,46_precipitation,47_temperature,47_precipitation,48_temperature,48_precipitation,49_temperature,49_precipitation,50_temperature,50_precipitation,51_temperature,51_precipitation,52_temperature,52_precipitation,53_temperature,53_precipitation,54_temperature,54_precipitation,55_temperature,55_precipitation,56_temperature,56_precipitation,57_temperature,57_precipitation,58_temperature,58_precipitation,59_temperature,59_precipitation,60_temperature,60_precipitation,61_temperature,61_precipitation,62_temperature,62_precipitation,63_temperature,63_precipitation,64_temperature,64_precipitation,65_temperature,65_precipitation,66_temperature,66_precipitation,67_temperature,67_precipitation,68_temperature,68_precipitation,69_temperature,69_precipitation,70_temperature,70_precipitation,71_temperature,71_precipitation,72_temperature,72_precipitation,73_temperature,73_precipitation,74_temperature,74_precipitation,75_temperature,75_precipitation,76_temperature,76_precipitation,77_temperature,77_precipitation
2024-04-01 00:00:00+00:00,4.489,0.0,4.4824996,0.0,4.1805,0.0,4.4694996,0.0,4.1805,0.0,4.1545,0.0,4.1415,0.0,4.1675,0.0,4.3655,0.0,4.3589997,0.0,4.437,0.0,4.4305,0.0,4.463,0.0,4.663,0.0,4.624,0.0,4.663,0.0,4.598,0.0,4.585,0.0,4.624,0.0,4.663,0.0,4.6825,0.0,4.1675,0.0,4.663,0.0,4.161,0.0,4.787,0.0,4.813,0.0,4.2785,0.0,4.324,0.0,4.839,0.0,4.3435,0.0,4.3564997,0.0,4.0965,0.0,4.337,0.0,4.3305,0.0,4.337,0.0,4.6675,0.4,4.7,0.4,4.6935,0.4,4.6675,0.4,4.674,0.4,4.687,0.4,4.6935,0.4,4.6935,0.4,5.037,0.7,4.4305,0.4,4.437,0.4,5.0565,0.7,4.437,0.4,5.0435004,0.7,5.0435004,0.7,4.4564996,0.4,4.437,0.4,5.124,1.3,5.202,1.3,4.5805,0.9,5.039,0.4,5.0455,0.4,4.6805,0.4,4.337,0.0,4.324,0.0,4.7064996,0.4,5.026,0.4,4.6805,0.4,5.0,0.4,5.0065,0.4,4.674,0.4,4.6805,0.4,4.6935,0.4,4.7064996,0.4,5.011,0.7,5.0305004,0.7,4.894,0.7,5.024,0.7,4.9915004,0.7,4.985,0.7,4.689,0.0,4.4694996,0.0
2024-04-01 01:00:00+00:00,3.9390001,0.4,3.9325001,0.4,3.8305,0.9,3.9195,0.4,3.8305,0.9,3.8044999,0.9,3.7914999,0.9,3.8174999,0.9,3.8155,0.4,3.809,0.4,3.887,0.4,3.8805,0.4,3.913,0.4,4.063,0.8,4.024,0.8,4.063,0.8,3.9980001,0.8,3.9850001,0.8,4.024,0.8,4.063,0.8,4.0825,0.8,3.8174999,0.9,4.063,0.8,3.8109999,0.9,4.187,0.9,4.213,0.9,3.9785001,0.2,4.024,0.2,4.239,0.9,4.0435004,0.2,4.0565,0.2,3.7965002,0.2,4.037,0.2,4.0305004,0.2,4.037,0.2,4.1675,1.3,4.2,1.3,4.1935,1.3,4.1675,1.3,4.174,1.3,4.187,1.3,4.1935,1.3,4.1935,1.3,4.387,2.6,4.1305003,1.8,4.137,1.8,4.4065,2.6,4.137,1.8,4.3935003,2.6,4.3935003,2.6,4.1565,1.8,4.137,1.8,4.574,2.3,4.652,2.3,4.3805003,2.4,4.339,0.5,4.3455,0.5,4.1805,1.3,4.037,0.2,4.024,0.2,4.2064996,1.3,4.326,0.5,4.1805,1.3,4.3,0.5,4.3065,0.5,4.174,1.3,4.1805,1.3,4.1935,1.3,4.2064996,1.3,4.361,2.6,4.3805003,2.6,4.244,2.6,4.374,2.6,4.3415003,2.6,4.335,2.6,3.889,0.5,3.9195,0.4
2024-04-01 02:00:00+00:00,3.739,1.9,3.7325,1.9,3.8305,1.8,3.7195,1.9,3.8305,1.8,3.8044999,1.8,3.7914999,1.8,3.8174999,1.8,3.6155,1.9,3.609,1.9,3.687,1.9,3.6805,1.9,3.713,1.9,3.813,1.9,3.774,1.9,3.813,1.9,3.748,1.9,3.735,1.9,3.774,1.9,3.813,1.9,3.8325,1.9,3.8174999,1.8,3.813,1.9,3.8109999,1.8,4.037,2.6,4.063,2.6,4.0285,2.1,4.074,2.1,4.089,2.6,4.0935,2.1,4.1064997,2.1,3.8465,2.1,4.087,2.1,4.0805,2.1,4.087,2.1,4.1175003,2.3,4.15,2.3,4.1435003,2.3,4.1175003,2.3,4.124,2.3,4.137,2.3,4.1435003,2.3,4.1435003,2.3,4.287,3.6,4.2305,3.0,4.237,3.0,4.3065,3.6,4.237,3.0,4.2935004,3.6,4.2935004,3.6,4.2565,3.0,4.237,3.0,4.474,4.9,4.552,4.9,4.4805,4.7,4.239,2.8,4.2454996,2.8,4.1305003,2.3,4.087,2.1,4.074,2.1,4.1565,2.3,4.226,2.8,4.1305003,2.3,4.2,2.8,4.2064996,2.8,4.124,2.3,4.1305003,2.3,4.1435003,2.3,4.1565,2.3,4.261,3.6,4.2805004,3.6,4.144,3.6,4.274,3.6,4.2415004,3.6,4.235,3.6,3.6890001,2.1,3.7195,1.9
2024-04-01 03:00:00+00:00,3.839,6.9,3.8325,6.9,3.9305,4.5,3.8195,6.9,3.9305,4.5,3.9045,4.5,3.8915,4.5,3.9175,4.5,3.7154999,6.9,3.7089999,6.9,3.787,6.9,3.7805,6.9,3.813,6.9,3.763,6.3,3.724,6.3,3.763,6.3,3.698,6.3,3.685,6.3,3.724,6.3,3.763,6.3,3.7825,6.3,3.9175,4.5,3.763,6.3,3.911,4.5,3.937,4.2,3.963,4.2,4.0785003,3.9,4.124,3.9,3.989,4.2,4.1435003,3.9,4.1565,3.9,3.8965,3.9,4.137,3.9,4.1305003,3.9,4.137,3.9,4.1675,5.0,4.2,5.0,4.1935,5.0,4.1675,5.0,4.174,5.0,4.187,5.0,4.1935,5.0,4.1935,5.0,4.187,5.1,4.1305003,5.7,4.137,5.7,4.2064996,5.1,4.137,5.7,4.1935,5.1,4.1935,5.1,4.1565,5.7,4.137,5.7,4.324,5.0,4.402,5.0,4.3805003,5.5,4.189,5.0,4.1955,5.0,4.1805,5.0,4.137,3.9,4.124,3.9,4.2064996,5.0,4.176,5.0,4.1805,5.0,4.15,5.0,4.1565,5.0,4.174,5.0,4.1805,5.0,4.1935,5.0,4.2064996,5.0,4.161,5.1,4.1805,5.1,4.0439997,5.1,4.174,5.1,4.1415,5.1,4.1349998,5.1,3.789,5.3,3.8195,6.9
2024-04-01 04:00:00+00:00,4.139,2.2,4.1324997,2.2,4.3305,1.9,4.1194997,2.2,4.3305,1.9,4.3045,1.9,4.2915,1.9,4.3175,1.9,4.0155,2.2,4.009,2.2,4.087,2.2,4.0805,2.2,4.113,2.2,4.063,2.1,4.024,2.1,4.063,2.1,3.9980001,2.1,3.9850001,2.1,4.024,2.1,4.063,2.1,4.0825,2.1,4.3175,1.9,4.063,2.1,4.311,1.9,4.187,1.6,4.213,1.6,4.3785,2.2,4.424,2.2,4.239,1.6,4.4435,2.2,4.4564996,2.2,4.1965,2.2,4.437,2.2,4.4305,2.2,4.437,2.2,4.4175,3.5,4.45,3.5,4.4435,3.5,4.4175,3.5,4.424,3.5,4.437,3.5,4.4435,3.5,4.4435,3.5,4.537,2.5,4.5305004,1.8,4.537,1.8,4.5565,2.5,4.537,1.8,4.5435004,2.5,4.5435004,2.5,4.5565,1.8,4.537,1.8,4.624,0.8,4.702,0.8,4.6805,0.7,4.389,2.0,4.3954997,2.0,4.4305,3.5,4.437,2.2,4.424,2.2,4.4564996,3.5,4.376,2.0,4.4305,3.5,4.35,2.0,4.3564997,2.0,4.424,3.5,4.4305,3.5,4.4435,3.5,4.4564996,3.5,4.511,2.5,4.5305004,2.5,4.394,2.5,4.524,2.5,4.4915004,2.5,4.485,2.5,3.839,3.5,4.1194997,2.2
2024-04-01 05:00:00+00:00,4.689,4.1,4.6825,4.1,4.8305,3.5,4.6695,4.1,4.8305,3.5,4.8045,3.5,4.7915,3.5,4.8175,3.5,4.5655003,4.1,4.559,4.1,4.637,4.1,4.6305003,4.1,4.663,4.1,4.613,3.9,4.574,3.9,4.613,3.9,4.548,3.9,4.535,3.9,4.574,3.9,4.613,3.9,4.6324997,3.9,4.8175,3.5,4.613,3.9,4.811,3.5,4.787,5.0,4.813,5.0,4.9785004,4.3,5.024,4.3,4.839,5.0,5.0435004,4.3,5.0565,4.3,4.7965,4.3,5.037,4.3,5.0305004,4.3,5.037,4.3,5.1175003,4.6,5.15,4.6,5.1435003,4.6,5.1175003,4.6,5.124,4.6,5.137,4.6,5.1435003,4.6,5.1435003,4.6,5.137,2.4,5.2305,2.0,5.237,2.0,5.1565,2.4,5.237,2.0,5.1435003,2.4,5.1435003,2.4,5.2565,2.0,5.237,2.0,5.124,0.4,5.202,0.4,5.3305,0.3,4.939,4.8,4.9455,4.8,5.1305003,4.6,5.037,4.3,5.024,4.3,5.1565,4.6,4.926,4.8,5.1305003,4.6,4.9,4.8,4.9065,4.8,5.124,4.6,5.1305003,4.6,5.1435003,4.6,5.1565,4.6,5.111,2.4,5.1305003,2.4,4.994,2.4,5.124,2.4,5.0915003,2.4,5.085,2.4,4.439,3.2,4.6695,4.1
2024-04-01 06:00:00+00:00,4.839,4.4,4.8325,4.4,4.9305,3.7,4.8195,4.4,4.9305,3.7,4.9045,3.7,4.8915,3.7,4.9175,3.7,4.7155004,4.4,4.709,4.4,4.787,4.4,4.7805004,4.4,4.813,4.4,4.813,3.9,4.774,3.9,4.813,3.9,4.748,3.9,4.735,3.9,4.774,3.9,4.813,3.9,4.8325,3.9,4.9175,3.7,4.813,3.9,4.911,3.7,5.137,3.3,5.163,3.3,5.3285003,4.4,5.374,4.4,5.189,3.3,5.3935003,4.4,5.4065,4.4,5.1465,4.4,5.387,4.4,5.3805003,4.4,5.387,4.4,5.5675,4.5,5.6,4.5,5.5935,4.5,5.5675,4.5,5.574,4.5,5.587,4.5,5.5935,4.5,5.5935,4.5,5.837,3.1,5.5805,3.2,5.587,3.2,5.8564997,3.1,5.587,3.2,5.8435,3.1,5.8435,3.1,5.6064997,3.2,5.587,3.2,6.074,1.6,6.152,1.6,5.8805003,1.1,5.439,3.9,5.4455,3.9,5.5805,4.5,5.387,4.4,5.374,4.4,5.6064997,4.5,5.426,3.9,5.5805,4.5,5.4,3.9,5.4065,3.9,5.574,4.5,5.5805,4.5,5.5935,4.5,5.6064997,4.5,5.811,3.1,5.8305,3.1,5.694,3.1,5.824,3.1,5.7915,3.1,5.785,3.1,4.739,4.1,4.8195,4.4
2024-04-01 07:00:00+00:00,5.039,4.4,5.0325,4.4,4.9305,1.7,5.0195,4.4,4.9305,1.7,4.9045,1.7,4.8915,1.7,4.9175,1.7,4.9155,4.4,4.909,4.4,4.987,4.4,4.9805,4.4,5.013,4.4,4.863,1.7,4.824,1.7,4.863,1.7,4.798,1.7,4.785,1.7,4.824,1.7,4.863,1.7,4.8824997,1.7,4.9175,1.7,4.863,1.7,4.911,1.7,5.037,0.6,5.063,0.6,5.1785,0.7,5.224,0.7,5.089,0.6,5.2435,0.7,5.2565,0.7,4.9965,0.7,5.237,0.7,5.2305,0.7,5.237,0.7,5.4675,0.7,5.5,0.7,5.4935,0.7,5.4675,0.7,5.474,0.7,5.487,0.7,5.4935,0.7,5.4935,0.7,5.787,1.2,5.5805,1.6,5.587,1.6,5.8065,1.2,5.587,1.6,5.7935004,1.2,5.7935004,1.2,5.6064997,1.6,5.587,1.6,6.074,1.8,6.152,1.8,5.9805,2.0,5.489,0.5,5.4954996,0.5,5.4805,0.7,5.237,0.7,5.224,0.7,5.5065,0.7,5.476,0.5,5.4805,0.7,5.45,0.5,5.4564996,0.5,5.474,0.7,5.4805,0.7,5.4935,0.7,5.5065,0.7,5.761,1.2,5.7805004,1.2,5.644,1.2,5.774,1.2,5.7415004,1.2,5.735,1.2,4.989,3.6,5.0195,4.4
2024-04-01 08:00:00+00:00,4.789,1.6,4.7825,1.6,4.9805,1.2,4.7695,1.6,4.9805,1.2,4.9545,1.2,4.9415,1.2,4.9675,1.2,4.6655,1.6,4.659,1.6,4.737,1.6,4.7305,1.6,4.763,1.6,4.913,1.0,4.874,1.0,4.913,1.0,4.848,1.0,4.835,1.0,4.874,1.0,4.913,1.0,4.9325,1.0,4.9675,1.2,4.913,1.0,4.961,1.2,5.137,0.9,5.163,0.9,5.3285003,0.9,5.374,0.9,5.189,0.9,5.3935003,0.9,5.4065,0.9,5.1465,0.9,5.387,0.9,5.3805003,0.9,5.387,0.9,5.5175004,0.7,5.55,0.7,5.5435004,0.7,5.5175004,0.7,5.524,0.7,5.537,0.7,5.5435004,0.7,5.5435004,0.7,5.737,0.5,5.4305,0.5,5.437,0.5,5.7565,0.5,5.437,0.5,5.7435,0.5,5.7435,0.5,5.4564996,0.5,5.437,0.5,5.974,0.5,6.052,0.5,5.7305,0.6,5.439,0.7,5.4455,0.7,5.5305004,0.7,5.387,0.9,5.374,0.9,5.5565,0.7,5.426,0.7,5.5305004,0.7,5.4,0.7,5.4065,0.7,5.524,0.7,5.5305004,0.7,5.5435004,0.7,5.5565,0.7,5.711,0.5,5.7305,0.5,5.594,0.5,5.724,0.5,5.6915,0.5,5.685,0.5,4.739,1.1,4.7695,1.6
2024-04-01 09:00:00+00:00,4.489,0.0,4.4824996,0.0,4.7305,0.0,4.4694996,0.0,4.7305,0.0,4.7045,0.0,4.6915,0.0,4.7175,0.0,4.3655,0.0,4.3589997,0.0,4.437,0.0,4.4305,0.0,4.463,0.0,4.713,0.0,4.674,0.0,4.713,0.0,4.648,0.0,4.6349998,0.0,4.674,0.0,4.713,0.0,4.7324996,0.0,4.7175,0.0,4.713,0.0,4.711,0.0,5.137,0.0,5.163,0.0,5.2285004,0.0,5.274,0.0,5.189,0.0,5.2935004,0.0,5.3065,0.0,5.0465,0.0,5.287,0.0,5.2805004,0.0,5.287,0.0,5.7675004,0.0,5.8,0.0,5.7935004,0.0,5.7675004,0.0,5.774,0.0,5.787,0.0,5.7935004,0.0,5.7935004,0.0,6.037,0.1,5.7305,0.1,5.737,0.1,6.0565,0.1,5.737,0.1,6.0435004,0.1,6.0435004,0.1,5.7565,0.1,5.737,0.1,6.074,0.1,6.152,0.1,5.9305,0.1,5.689,0.0,5.6955,0.0,5.7805004,0.0,5.287,0.0,5.274,0.0,5.8065,0.0,5.676,0.0,5.7805004,0.0,5.65,0.0,5.6565,0.0,5.774,0.0,5.7805004,0.0,5.7935004,0.0,5.8065,0.0,6.011,0.1,6.0305004,0.1,5.894,0.1,6.024,0.1,5.9915004,0.1,5.985,0.1,4.439,0.0,4.4694996,0.0
